REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2021,01,4,24,0,12,,1,6,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,105
2,2021,01,3,48,7,03,5,1,6,3,,1,2,2,3,10,07,34,,,,,,,,,,,,,,,,3,,,,,,4,2,1,4,12,2,2,,,,1,,,1,,,1,13,,267
3,2021,01,4,35,0,12,,1,1,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,,,,,,,,,,,,11,,152
4,2021,01,4,35,0,12,,2,3,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,139
5,2021,01,4,35,0,10,,2,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,1,11,,142
6,2021,01,1,13,0,08,,2,1,5,1,,,1,3,17,04,16,,,,225,225,2,225,225,0,,0,0,0,5,240,,4078,1,1,4,4,,,,,,,,,,,,,,,,,1,02,,181
7,2021,01,4,12,0,12,,2,3,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,,,,,,,,,,,,01,,127
8,2021,01,4,11,0,12,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,11,,40
9,2021,01,1,59,0,09,,2,1,5,2,,,1,3,17,04,16,,,,240,260,2,340,360,0,,0,20,20,5,97,,3286,1,1,2,4,,,,,,,,,,,,,,,,,1,02,,158
10,2021,01,4,12,0,11,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,,,,,,,,,11,,195
11,2021,01,4,35,0,01,2,2,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,,206
12,2021,01,1,24,0,03,6,1,2,4,1,,,2,3,17,04,17,,,,400,400,1,400,400,0,,0,0,0,,91,,2800,1,1,2,3,,,,,,,,,,,,,,,,,1,05,,579
13,2021,01,1,35,4,06,,2,1,3,1,,,2,2,10,07,31,,,,400,400,1,400,400,0,,0,0,0,,20,,2404,3,1,1,1,,,,,,,,,,,,,,,,,1,03,3,1653
14,2021,01,1,48,7,02,4,2,6,2,1,,,2,3,19,07,31,,,,400,400,1,400,400,0,,0,0,0,,27,,1500,3,1,1,4,,,,,,,,,,,,,,,,,1,17,,1076
15,2021,01,1,12,0,09,,2,4,4,2,,,1,3,11,08,35,,,,260,260,2,360,360,0,,0,0,0,7,140,,2687,1,1,1,4,,,,,,,,,,,,,,,,,1,01,,175
16,2021,01,1,35,0,02,4,1,6,3,1,,,2,3,15,07,33,,,,440,280,1,440,280,200,1,0,0,0,,9,,1560,1,1,1,2,,,,,,,,,,,,,,,,,1,18,,877
17,2021,01,3,48,7,09,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,60,4,1,,,15,2,,,,1,,,1,,,1,11,,520
18,2021,01,1,35,0,07,,2,1,4,1,,,1,3,21,03,12,,,,363,363,1,363,363,0,,0,0,0,,54,,2755,1,1,2,4,,,,,,,,,,,,,,,,,1,03,2,171
19,2021,01,4,10,0,12,,1,3,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,87
20,2021,01,4,35,4,12,,2,3,2,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,,1218
21,2021,01,1,13,0,03,6,2,6,5,1,,,2,3,14,07,31,,,,400,400,1,400,400,0,,0,0,0,,27,,2260,3,1,1,1,,,,,,,,,,,,,,,,,1,01,,279
22,2021,01,4,59,0,09,,2,1,4,,1,1,6,3,17,05,26,,,,,,,,,,,,,,,,25,,,,,,,,,2,04,12,,,,,,,,,5,,1,05,,224
23,2021,01,4,35,0,12,,1,1,0,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,,,,,,,,,,,,11,,429
24,2021,01,1,35,0,07,,2,6,4,1,,,2,3,12,07,32,,,,400,400,1,400,400,0,,0,0,0,,4,,3606,3,1,1,3,,,,,,,,,,,,,,,,,1,01,,372
25,2021,01,4,11,0,11,,1,1,2,,1,1,2,3,03,09,40,,,,,,,,,,,,,,,,3,,,,,,,,,4,09,7,,,,,,,,,,,,11,,49
26,2021,01,4,35,0,12,,2,2,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,,,,,,,,,11,,92
27,2021,01,1,46,6,09,,1,1,4,1,,,1,3,17,03,11,,,,400,400,1,400,400,0,,0,0,0,,124,,2500,3,1,2,4,,,,,,,,,,,,,,,,,1,02,,69
28,2021,01,1,46,0,05,,1,2,4,1,,,4,3,06,08,35,,,,400,400,1,400,400,,,,,,,109,,,,,,,,,,,,,,,,,,,,,,,1,06,1,181
29,2021,01,4,48,0,12,,2,3,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,78
30,2021,01,4,47,0,10,,1,6,2,,1,2,2,3,14,08,38,,,,,,,,,,,,,,,,126,,,,,,,,,1,01,4,,,,,,,,,,,1,01,,141
31,2021,01,1,12,0,04,,1,2,3,1,,,6,3,15,08,35,,,,80,30,2,80,30,,,,,,6,5,,,,,,,,,,,,,,,,,,,,,,,1,02,,142
32,2021,01,4,12,0,12,,2,1,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,,,,,,,,,,,,11,,124
