REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2023,03,4,47,0,12,,1,1,0,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,149
2,2023,03,1,59,9,05,,2,1,6,1,,,2,1,14,01,02,,,,400,400,1,400,400,0,,0,0,0,,7,,3534,3,1,2,3,,,,,,,,,,,,,,,,,3,02,,1467
3,2023,03,4,46,6,02,4,2,6,2,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,04,,100
4,2023,03,4,59,9,12,,2,3,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,18,,166
5,2023,03,4,10,0,12,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,05,,73
6,2023,03,1,35,3,07,,2,1,6,1,,,6,1,10,01,03,,,,480,500,1,480,500,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,1,02,,538
7,2023,03,4,35,4,12,,1,1,4,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,181
8,2023,03,1,48,0,01,1,2,6,1,1,,,2,3,19,07,34,,,,180,100,2,180,100,0,,0,0,0,4,23,,1500,3,1,1,3,,,,,,,,,,,,,,,,,2,14,,470
9,2023,03,4,12,0,07,,1,1,2,,1,1,2,3,03,09,40,,,,,,,,,,,,,,,,2,,,,,,,,,4,12,3,,,,,,,,,,,1,10,4,161
10,2023,03,1,59,9,03,6,2,6,4,1,,,1,1,21,02,07,,,,375,375,1,375,375,0,,0,0,0,,20,,2950,1,3,4,4,,,,,,,,,,,,,,,,,2,18,,274
11,2023,03,1,10,0,09,,1,1,3,1,,,2,3,11,08,36,,,,480,480,1,480,480,0,,0,0,0,,229,,3200,3,1,1,1,,,,,,,,,,,,,,,,,1,03,2,72
12,2023,03,4,35,5,09,,2,5,6,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,17,4,240
13,2023,03,1,46,6,05,,2,1,6,2,,,1,3,17,04,14,,,,200,200,2,280,280,0,,0,0,0,5,90,,4500,1,1,3,3,,,,,,,,,,,,,,,,,1,03,1,167
14,2023,03,1,24,1,06,,1,2,5,1,,,2,3,14,02,06,,,,375,405,1,375,405,0,,30,0,30,,6,,5128,3,1,3,4,,,,,,,,,,,,,,,,,1,03,2,494
15,2023,03,4,35,4,12,,2,1,0,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,903
16,2023,03,3,48,0,05,,2,4,4,,1,1,2,3,04,09,40,,,,,,,,,,,,,,,,5,,,,,,16,6,1,1,01,12,2,1,1,,,,1,0,,,1,02,,130
17,2023,03,1,24,2,05,,1,2,4,1,,,1,3,06,08,35,,,,390,390,1,390,390,0,,0,0,0,,181,,4350,1,1,3,3,,,,,,,,,,,,,,,,,1,03,1,1017
18,2023,03,2,35,0,04,,2,1,5,1,,,6,3,17,04,17,2,18,,250,0,2,250,0,,,,,,5,16,,,,,,,,,,,,,,,,,,,,,,,1,03,1,435
19,2023,03,1,59,9,01,1,2,6,1,1,,,2,3,19,07,34,,,,75,75,2,75,75,0,,0,0,0,4,61,,1565,3,1,1,4,,,,,,,,,,,,,,,,,2,16,,303
20,2023,03,2,35,0,08,,1,1,4,1,,,2,3,07,03,13,3,1,1,400,0,1,400,0,,,,,,,234,,4800,3,1,4,4,,,,,,,,,,,,,,,,,1,02,,197
21,2023,03,1,13,0,11,,2,1,4,1,,,4,3,01,01,04,,,,10,10,2,10,10,,,,,,5,94,,,,,,,,,,,,,,,,,,,,,,,,02,,111
22,2023,03,1,35,4,08,,1,5,4,1,,,2,3,06,08,35,,,,400,400,1,400,400,0,,0,0,0,,240,,5400,1,1,1,3,,,,,,,,,,,,,,,,,1,01,,214
23,2023,03,4,35,4,12,,1,1,4,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,,,,,,,,,,,,11,,780
24,2023,03,4,35,4,01,2,1,6,2,,1,2,2,3,10,07,34,,,,,,,,,,,,,,,,33,,,,,,,,,3,05,8,,,,,,,,,,,2,03,,205
