REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2020,01,1,35,4,07,,2,1,4,1,,,2,2,08,10,43,,,,400,320,1,400,320,80,3,0,0,0,,126,,1400,3,1,2,2,,,,,,,,,,,,,,,,,1,03,3,729
2,2020,01,1,46,6,07,,1,2,3,1,,,2,3,06,08,35,,,,400,430,1,400,430,0,,30,0,30,,7,,2200,3,1,2,3,,,,,,,,,,,,,,,,,1,02,,181
3,2020,01,3,35,4,02,4,2,6,5,,1,2,2,2,19,07,34,,,,,,,,,,,,,,,,1,,,,,,4,6,1,0,06,2,2,,1,1,1,1,,3,,,1,06,,1040
4,2020,01,1,35,4,04,,1,2,3,1,,,2,3,10,01,03,,,,400,400,1,400,400,0,,0,0,0,,14,,3125,3,1,1,3,,,,,,,,,,,,,,,,,1,02,,1421
5,2020,01,4,13,0,11,,2,1,4,,1,1,2,3,12,07,33,,,,,,,,,,,,,,,,240,,,,,,,,,5,07,5,,,,,,,,,,,,11,,167
6,2020,01,1,24,2,08,,2,6,4,1,,,2,3,10,07,34,,,,400,340,1,400,340,60,1,0,0,0,,4,,1325,3,1,2,4,,,,,,,,,,,,,,,,,1,01,,1014
7,2020,01,1,24,0,02,4,2,6,1,1,,,2,3,10,07,31,,,,400,400,1,400,400,0,,0,0,0,,9,,1298,3,1,1,4,,,,,,,,,,,,,,,,,1,01,,897
8,2020,01,1,46,0,09,,1,5,1,1,,,1,3,11,03,13,,,,375,375,1,375,375,0,,0,0,0,,69,,2248,1,1,3,4,,,,,,,,,,,,,,,,,1,01,,96
9,2020,01,4,35,0,10,,2,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,1,05,,162
10,2020,01,1,59,0,03,6,1,1,2,1,,,3,3,06,08,35,,,,600,600,1,600,600,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,1,02,,120
11,2020,01,1,46,6,06,,1,1,2,1,,,1,3,16,05,26,,,,150,150,2,150,150,0,,0,0,0,5,4,,1100,2,1,1,4,,,,,,,,,,,,,,,,,1,06,1,172
12,2020,01,4,12,0,01,2,1,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,18,,192
13,2020,01,1,13,0,07,,1,1,4,1,,,1,3,21,02,08,,,,375,455,1,375,455,0,,80,0,80,,35,,3179,1,1,3,4,,,,,,,,,,,,,,,,,1,07,4,193
14,2020,01,4,35,4,10,,2,5,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,,,,,,,,1,01,,768
15,2020,01,1,35,5,09,,2,1,6,1,,,1,3,16,05,20,,,,325,325,1,325,325,0,,0,0,0,,240,,5834,1,1,3,4,,,,,,,,,,,,,,,,,1,02,,338
16,2020,01,1,35,4,03,5,2,6,6,1,,,2,3,19,07,34,,,,150,150,2,150,150,0,,0,0,0,5,36,,1800,3,1,2,2,,,,,,,,,,,,,,,,,2,01,,1190
17,2020,01,1,47,0,10,,2,6,2,1,,,2,2,20,07,34,,,,400,380,1,400,380,20,4,0,0,0,,240,,1820,1,1,2,4,,,,,,,,,,,,,,,,,1,18,,100
18,2020,01,1,12,0,09,,2,1,5,1,,,1,3,17,04,17,,,,375,425,1,375,425,0,,30,20,50,,240,,3953,1,1,4,4,,,,,,,,,,,,,,,,,1,04,4,202
19,2020,01,1,59,0,04,,2,5,4,1,,,2,3,14,02,05,,,,400,303,1,400,303,85,0,0,0,0,,94,,3300,3,1,1,1,,,,,,,,,,,,,,,,,1,01,,113
20,2020,01,1,35,0,06,,2,2,6,1,,,1,3,21,05,23,,,,400,400,1,400,400,0,,0,0,0,,166,,4950,1,1,3,4,,,,,,,,,,,,,,,,,1,02,,276
21,2020,01,4,46,6,09,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,1,11,,175
22,2020,01,4,35,3,08,,2,1,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,1,06,2,540
23,2020,01,1,48,8,06,,2,1,4,1,,,1,2,16,02,08,,,,400,400,1,400,400,0,,0,0,0,,233,,2885,1,1,4,4,,,,,,,,,,,,,,,,,1,03,3,717
24,2020,01,4,35,0,06,,2,1,0,,1,1,2,1,01,09,40,,,,,,,,,,,,,,,,3,,,,,,,,,2,04,10,,,,,,,,,,,1,06,3,265
25,2020,01,4,35,4,12,,2,1,4,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,,,,,,,,,,,,11,,848
