"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-11","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","130.2","","","","1"
"2024-12","Canada","2016A000011124","Household operations, furnishings and equipment","2002=100","17","units","0","v41690917","1.4","129.9","","","","1"
"2023-12","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","97.0","","","","1"
"2024-01","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","95.3","","","","1"
"2024-02","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","93.1","","","","1"
"2024-03","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","94.4","","","","1"
"2024-04","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","94.2","","","","1"
"2024-05","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","93.7","","","","1"
"2024-06","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","93.6","","","","1"
"2024-07","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","93.6","","","","1"
"2024-08","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","92.7","","","","1"
"2024-09","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","92.5","","","","1"
"2024-10","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","92.8","","","","1"
"2024-11","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","92.4","","","","1"
"2024-12","Canada","2016A000011124","Clothing and footwear","2002=100","17","units","0","v41690918","1.5","92.4","","","","1"
"2023-12","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","172.3","","","","1"
"2024-01","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","170.9","","","","1"
"2024-02","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","171.5","","","","1"
"2024-03","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","172.2","","","","1"
"2024-04","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","172.8","","","","1"
"2024-05","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","172.1","","","","1"
"2024-06","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","171.7","","","","1"
"2024-07","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","171.9","","","","1"
"2024-08","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","170.9","","","","1"
"2024-09","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","170.0","","","","1"
"2024-10","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","170.7","","","","1"
"2024-11","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","172.7","","","","1"
"2024-12","Canada","2016A000011124","Transportation","2002=100","17","units","0","v41690919","1.6","175.1","","","","1"
"2023-12","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","147.6","","","","1"
"2024-01","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","148.3","","","","1"
"2024-02","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","148.9","","","","1"
"2024-03","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","149.0","","","","1"
"2024-04","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","149.4","","","","1"
"2024-05","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","150.5","","","","1"
"2024-06","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","150.3","","","","1"
"2024-07","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","150.4","","","","1"
"2024-08","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","150.9","","","","1"
"2024-09","Canada","2016A000011124","Health and personal care","2002=100","17","units","0","v41690920","1.7","151.5","","","","1"
