REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2020,04,1,24,0,07,,1,1,1,1,,,2,3,11,08,36,,,,800,350,1,800,350,0,,0,0,0,,206,,2500,3,1,1,1,,,,,,,,,,,,,,,,,1,03,2,745
2,2020,04,4,47,0,09,,2,1,0,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,1,18,,143
3,2020,04,4,59,0,10,,1,5,0,,1,1,2,3,06,08,36,,,,,,,,,,,,,,,,1,,,,,,,,,4,12,8,,,,,,,,,,,1,01,,239
4,2020,04,4,10,0,02,4,2,6,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,1,16,1,102
5,2020,04,2,10,0,04,,2,1,5,1,,,1,3,15,07,33,2,32,2,375,0,1,375,0,,,,,,,40,,2550,1,3,3,4,,,,,,,,,,,,,,,,,3,03,1,322
6,2020,04,3,35,3,03,6,1,6,2,,1,1,2,3,18,07,34,,,,,,,,,,,,,,,,77,,,,,,4,1,1,4,12,2,2,,,,,,,,,2,1,11,,344
7,2020,04,2,24,0,09,,2,2,3,1,,,2,3,17,06,30,0,4,1,160,0,2,160,0,,,,,,0,168,,1500,1,1,1,1,,,,,,,,,,,,,,,,,1,02,,162
8,2020,04,1,35,3,04,,1,2,4,1,,,2,3,18,01,02,,,,375,300,1,375,300,75,1,0,0,0,,109,,4821,3,1,1,3,,,,,,,,,,,,,,,,,1,02,,1042
9,2020,04,1,13,0,10,,2,2,4,1,,,2,3,10,07,32,,,,80,80,2,80,80,0,,0,0,0,5,240,,1425,3,4,3,4,,,,,,,,,,,,,,,,,1,08,,87
10,2020,04,1,35,4,03,5,1,6,4,1,,,2,1,14,03,11,,,,400,320,1,400,320,80,3,0,0,0,,12,,1625,3,1,3,3,,,,,,,,,,,,,,,,,1,07,,1094
11,2020,04,4,12,0,12,,1,6,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,01,,205
12,2020,04,4,35,0,12,,2,3,1,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,429
13,2020,04,4,12,0,12,,2,3,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,,,,,,,,,,,,02,,238
14,2020,04,4,47,0,12,,1,5,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,01,,128
15,2020,04,3,59,0,01,1,1,6,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,,,23,2,,,,,,,,,,2,03,,486
16,2020,04,1,59,0,12,,2,3,1,1,,,2,3,10,07,34,,,,350,350,1,350,350,0,,0,0,0,,25,,1300,3,1,3,4,,,,,,,,,,,,,,,,,,18,,145
17,2020,04,1,24,0,07,,1,2,3,1,,,2,3,15,08,38,,,,400,400,1,400,400,0,,0,0,0,,202,,1500,1,1,2,2,,,,,,,,,,,,,,,,,1,08,,116
18,2020,04,3,24,2,02,3,1,6,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,7,2,,,23,2,,,,1,1,,3,,,2,18,,938
19,2020,04,4,24,0,12,,1,1,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,324
20,2020,04,4,24,0,11,,2,2,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,,,,,,,,,,,,11,,473
21,2020,04,1,35,0,05,,1,1,4,1,,,2,3,14,08,35,,,,400,500,1,400,500,0,,90,10,100,,160,,4333,1,1,3,4,,,,,,,,,,,,,,,,,1,03,1,398
22,2020,04,2,13,0,03,6,2,2,2,1,,,2,3,17,05,24,2,28,2,400,0,1,400,0,,,,,,,66,,1497,3,1,1,1,,,,,,,,,,,,,,,,,1,09,1,253
23,2020,04,4,24,0,05,,1,2,2,,1,1,2,3,19,07,31,,,,,,,,,,,,,,,,5,,,,,,,,,0,06,3,,,,,,,,,,,1,12,2,200
24,2020,04,2,10,0,03,6,2,1,4,1,,,1,3,17,04,17,2,34,2,700,0,1,700,0,,,,,,,40,,2723,1,3,3,4,,,,,,,,,,,,,,,,,1,09,1,119
25,2020,04,3,35,0,02,4,1,6,4,,1,1,2,3,06,08,36,,,,,,,,,,,,,,,,2,,,,,,2,1,1,4,12,1,2,,,,,,,,,2,1,10,,249
26,2020,04,4,48,8,12,,2,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,11,,609
27,2020,04,2,59,0,04,,1,2,4,1,,,6,3,16,06,27,0,4,,250,0,2,250,0,,,,,,7,20,,,,,,,,,,,,,,,,,,,,,,,1,03,2,143
28,2020,04,1,35,0,06,,2,5,4,1,,,1,3,21,02,09,,,,420,480,1,420,480,0,,0,0,0,,228,,4600,1,1,3,3,,,,,,,,,,,,,,,,,1,14,2,191
29,2020,04,2,48,8,06,,1,1,4,1,,,1,1,17,04,17,0,5,2,300,0,1,300,0,,,,,,,40,,2929,1,4,1,4,,,,,,,,,,,,,,,,,1,06,2,771
30,2020,04,4,59,0,05,,2,1,3,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,2,234
