REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2020,03,4,59,0,11,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,,,,,,,,,,,,11,,516
2,2020,03,1,35,3,08,,2,1,4,1,,,2,3,10,07,34,,,,250,250,2,250,250,0,,0,0,0,0,99,,1400,3,1,1,4,,,,,,,,,,,,,,,,,1,04,4,693
3,2020,03,2,24,1,09,,2,1,4,1,,,2,3,12,07,34,1,7,1,350,0,1,350,0,,,,,,,240,,1850,3,1,4,4,,,,,,,,,,,,,,,,,1,02,,441
4,2020,03,4,35,0,09,,2,1,4,,1,1,1,3,17,04,17,,,,,,,,,,,,,,,,240,,,,,,,,,5,07,1,,,,,,,,,,,1,11,,252
5,2020,03,4,24,0,12,,1,1,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,11,,125
6,2020,03,1,35,5,01,2,2,6,1,1,,,1,3,17,07,34,,,,120,120,2,120,120,0,,0,0,0,4,6,,1506,3,1,2,2,,,,,,,,,,,,,,,,,1,03,,447
7,2020,03,4,48,0,09,,1,6,5,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,,,,,,,,,,1,01,,102
8,2020,03,4,48,0,01,1,2,6,0,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,06,,502
9,2020,03,3,24,0,09,,2,5,4,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,10,5,1,,,,2,,,,1,,,0,,,1,01,,180
10,2020,03,4,59,9,11,,1,6,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,01,,705
11,2020,03,4,12,0,11,,1,1,6,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,11,,188
12,2020,03,4,11,0,11,,1,5,3,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,01,,36
13,2020,03,4,35,5,12,,2,1,1,,1,1,2,2,01,09,40,,,,,,,,,,,,,,,,116,,,,,,,,,4,09,4,,,,,,,,,,,,11,,455
14,2020,03,2,59,9,09,,1,5,4,1,,,2,3,06,08,35,1,3,2,400,0,1,400,0,,,,,,,240,,4000,3,1,1,1,,,,,,,,,,,,,,,,,1,18,,780
15,2020,03,1,59,0,03,6,2,2,5,1,,,2,3,08,07,33,,,,400,400,1,400,400,0,,0,0,0,,21,,2163,3,1,2,2,,,,,,,,,,,,,,,,,1,02,,308
16,2020,03,4,59,0,01,2,1,6,3,,1,2,2,3,10,07,34,,,,,,,,,,,,,,,,10,,,,,,,,,0,00,4,,,,,,,,,,,3,01,,55
17,2020,03,4,13,0,12,,2,3,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,,,,,,,,,,,,01,,137
18,2020,03,2,59,0,03,6,2,6,5,1,,,2,3,14,05,22,3,2,2,120,0,2,120,0,,,,,,7,20,,2900,3,1,1,1,,,,,,,,,,,,,,,,,1,01,,741
19,2020,03,4,35,0,12,,2,3,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,,01,,343
20,2020,03,1,35,0,06,,1,6,4,1,,,1,3,02,09,40,,,,400,400,1,400,400,0,,0,0,0,,227,,2782,1,2,2,4,,,,,,,,,,,,,,,,,1,01,,231
21,2020,03,1,35,0,03,6,1,6,6,1,,,1,3,16,05,20,,,,100,20,2,100,20,0,,0,0,0,4,43,,4000,1,3,4,4,,,,,,,,,,,,,,,,,2,01,,105
22,2020,03,4,24,0,09,,2,2,6,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,1,05,,217
23,2020,03,1,46,0,04,,2,6,5,1,,,1,1,17,04,16,,,,450,230,1,450,230,0,,150,0,150,,115,,4200,1,1,4,4,,,,,,,,,,,,,,,,,1,01,,58
24,2020,03,1,35,4,11,,2,1,2,1,,,2,3,13,02,08,,,,400,400,1,400,400,0,,0,0,0,,240,,2163,3,1,1,3,,,,,,,,,,,,,,,,,,02,,1335
25,2020,03,1,48,8,05,,2,2,6,1,,,1,3,21,01,02,,,,363,483,1,363,483,0,,0,120,120,,95,,6251,3,1,4,4,,,,,,,,,,,,,,,,,1,02,,588
26,2020,03,1,24,2,09,,2,5,4,2,,,1,3,17,02,08,,,,350,350,1,500,500,0,,0,0,0,,240,,2400,1,1,4,4,,,,,,,,,,,,,,,,,1,01,,869
27,2020,03,1,13,0,07,,1,1,5,1,,,2,3,04,01,04,,,,600,600,1,600,600,40,2,0,50,50,,25,,5973,2,1,3,4,,,,,,,,,,,,,,,,,1,06,3,111
28,2020,03,4,10,0,12,,2,3,6,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,18,,288
29,2020,03,1,24,2,09,,2,1,6,1,,,2,2,08,03,13,,,,400,400,1,400,400,0,,0,0,0,,221,,3269,3,1,3,4,,,,,,,,,,,,,,,,,1,02,,938
30,2020,03,3,35,0,02,3,2,6,2,,1,1,2,3,19,07,34,,,,,,,,,,,,,,,,10,,,,,,1,1,1,4,12,1,2,,,,,,,,,2,2,03,,376
31,2020,03,1,35,3,08,,1,1,3,1,,,2,3,06,03,13,,,,400,200,1,400,200,200,0,0,0,0,,29,,3702,3,1,2,3,,,,,,,,,,,,,,,,,1,04,4,721
32,2020,03,4,47,0,11,,1,4,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,01,,119
33,2020,03,1,48,8,08,,2,1,5,1,,,2,3,14,04,16,,,,360,200,1,360,200,160,1,0,0,0,,144,,3846,3,1,2,2,,,,,,,,,,,,,,,,,1,02,,498
34,2020,03,4,48,0,12,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,05,,272
35,2020,03,4,59,0,04,,2,2,3,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,1,226
36,2020,03,4,59,9,01,2,1,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,,1978
37,2020,03,4,13,0,11,,1,4,4,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,01,,109
38,2020,03,4,12,0,12,,2,3,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,303
39,2020,03,4,24,0,12,,2,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,,,,,,,,,,,11,,110
40,2020,03,1,24,0,09,,2,6,3,1,,,2,3,19,07,32,,,,250,180,2,250,180,0,,0,0,0,5,88,,1350,3,1,2,2,,,,,,,,,,,,,,,,,1,01,,90
41,2020,03,4,24,2,01,1,2,6,0,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,,295
42,2020,03,4,35,0,09,,1,4,0,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,01,,318
43,2020,03,2,35,4,05,,2,1,5,1,,,1,3,16,05,20,3,1,1,375,0,1,375,0,,,,,,,43,,5128,1,1,2,4,,,,,,,,,,,,,,,,,1,03,1,874
44,2020,03,1,59,0,03,6,1,1,4,1,,,2,3,07,08,35,,,,400,400,1,400,400,0,,0,0,0,,5,,4200,1,3,4,4,,,,,,,,,,,,,,,,,1,03,1,245
45,2020,03,1,46,6,03,6,2,1,3,1,,,1,1,17,04,18,,,,387,397,1,387,397,0,,10,0,10,,6,,2100,1,1,4,4,,,,,,,,,,,,,,,,,1,03,1,171
46,2020,03,1,47,0,07,,1,6,4,1,,,2,3,07,10,42,,,,400,400,1,400,400,0,,0,0,0,,59,,1225,3,1,3,3,,,,,,,,,,,,,,,,,1,02,,140
47,2020,03,4,48,8,02,3,2,6,3,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,06,,583
48,2020,03,1,59,0,10,,2,1,6,1,,,2,3,20,05,21,,,,220,220,2,220,220,0,,0,0,0,3,163,,2600,3,1,1,1,,,,,,,,,,,,,,,,,1,01,,66
49,2020,03,1,47,0,04,,1,2,5,1,,,2,3,07,01,04,,,,375,375,1,375,375,0,,0,0,0,,90,,3590,3,1,1,3,,,,,,,,,,,,,,,,,1,02,,151
50,2020,03,4,24,0,01,1,2,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,03,,136
51,2020,03,4,24,0,10,,1,1,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,1,11,,200
52,2020,03,4,46,6,12,,2,2,3,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,05,,113
53,2020,03,1,48,0,05,,2,1,6,1,,,1,3,16,01,02,,,,400,450,1,400,450,0,,0,50,50,,32,,5192,1,1,2,4,,,,,,,,,,,,,,,,,1,03,1,458
54,2020,03,4,59,0,12,,1,1,5,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,343
55,2020,03,4,59,9,10,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,1,11,,747
56,2020,03,2,59,0,05,,2,2,3,1,,,2,3,12,02,09,3,1,1,375,0,1,375,0,,,,,,,126,,1969,3,1,1,3,,,,,,,,,,,,,,,,,1,03,1,369
57,2020,03,4,13,0,12,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,,,,,,,,,,,,11,,158
58,2020,03,1,47,0,02,3,1,6,3,1,,,2,3,06,08,35,,,,400,400,1,400,400,0,,0,0,0,,29,,2500,1,1,2,3,,,,,,,,,,,,,,,,,1,04,,153
59,2020,03,4,13,0,05,,2,6,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,1,02,,159
60,2020,03,1,59,9,09,,2,1,4,1,,,1,3,16,05,20,,,,250,250,2,250,250,0,,0,0,0,0,174,,7147,1,1,4,4,,,,,,,,,,,,,,,,,1,04,4,571
61,2020,03,1,11,0,10,,2,1,6,2,,,2,3,20,02,08,,,,400,400,1,500,500,0,,0,0,0,,106,,1400,3,1,1,1,,,,,,,,,,,,,,,,,1,02,,67
62,2020,03,4,48,0,03,6,2,1,4,,1,2,2,3,15,07,34,,,,,,,,,,,,,,,,52,,,,,,,,,4,12,10,,,,,,,,,,,1,05,,105
63,2020,03,1,35,4,02,4,2,6,5,1,,,2,2,08,02,05,,,,375,375,1,375,375,0,,0,0,0,,3,,3308,3,1,2,4,,,,,,,,,,,,,,,,,1,03,,952
64,2020,03,4,35,0,12,,1,5,6,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,288
65,2020,03,1,48,8,07,,2,2,4,1,,,1,3,17,05,24,,,,400,400,1,400,400,0,,0,0,0,,129,,2900,3,1,1,4,,,,,,,,,,,,,,,,,1,03,3,491
66,2020,03,4,24,0,11,,1,5,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,,,,,,,,,,,,01,,150
67,2020,03,1,35,0,08,,1,1,2,1,,,6,2,13,01,03,,,,300,400,1,300,400,,,,,,,188,,,,,,,,,,,,,,,,,,,,,,,1,03,1,62
68,2020,03,3,12,0,06,,1,6,2,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,75,5,1,,,,2,1,1,1,1,,1,0,,,1,01,,218
69,2020,03,1,59,9,08,,1,1,5,1,,,2,2,11,08,38,,,,400,200,1,400,200,160,2,0,0,0,,240,,6800,1,1,4,4,,,,,,,,,,,,,,,,,1,05,,226
70,2020,03,4,48,0,12,,2,3,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,,,,,,,,,01,,369
71,2020,03,2,11,0,12,,1,4,1,1,,,1,3,18,07,31,1,25,1,400,0,1,400,0,,,,,,,240,,1908,1,2,1,2,,,,,,,,,,,,,,,,,,18,,41
72,2020,03,1,46,0,08,,2,1,6,1,,,1,3,16,05,20,,,,400,400,1,400,400,0,,0,0,0,,3,,3269,1,3,1,3,,,,,,,,,,,,,,,,,1,02,,37
73,2020,03,4,24,1,12,,1,1,6,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,,,,,,,,,,,,11,,399
74,2020,03,3,35,0,05,,2,6,2,,1,2,2,3,19,07,34,,,,,,,,,,,,,,,,4,,,,,,1,1,2,4,12,1,2,,,,,,,,,1,1,01,,369
75,2020,03,4,48,0,12,,2,1,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,53
76,2020,03,4,46,0,11,,2,1,2,,1,2,2,3,10,07,33,,,,,,,,,,,,,,,,137,,,,,,,,,5,07,2,,,,,,,,,,,,11,,117
77,2020,03,1,24,2,09,,1,1,6,1,,,2,3,08,10,43,,,,390,80,1,390,80,240,0,0,0,0,,12,,1250,1,1,4,4,,,,,,,,,,,,,,,,,1,01,,841
78,2020,03,1,13,0,12,,1,6,4,1,,,1,3,21,08,35,,,,400,400,1,400,400,0,,0,0,0,,154,,3800,1,1,3,4,,,,,,,,,,,,,,,,,,01,,137
79,2020,03,4,35,0,10,,1,6,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,1,01,,287
80,2020,03,4,47,0,10,,2,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,1,05,,222
81,2020,03,1,59,9,09,,1,2,1,2,,,6,3,10,01,03,,,,250,280,2,470,450,,,,,,0,95,,,,,,,,,,,,,,,,,,,,,,,1,02,,156
82,2020,03,1,48,0,06,,1,2,6,1,,,1,3,16,05,20,,,,400,400,1,400,400,0,,0,0,0,,151,,3404,1,1,2,4,,,,,,,,,,,,,,,,,1,03,3,388
83,2020,03,1,24,0,03,6,1,6,4,1,,,2,3,08,08,35,,,,400,400,1,400,400,0,,0,0,0,,63,,4200,1,1,3,3,,,,,,,,,,,,,,,,,1,01,,166
84,2020,03,1,35,3,04,,2,6,5,1,,,2,3,20,02,08,,,,337,337,1,337,337,0,,0,0,0,,19,,3652,1,1,2,2,,,,,,,,,,,,,,,,,1,01,,666
85,2020,03,4,35,0,12,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,380
86,2020,03,3,24,0,06,,1,2,4,,1,1,1,3,16,05,20,,,,,,,,,,,,,,,,115,,,,,,1,1,1,4,12,1,2,,,,,,,,,2,1,09,2,151
87,2020,03,4,48,8,12,,2,3,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,18,,1060
88,2020,03,4,59,9,12,,1,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,,,,,,,,,,,,11,,713
89,2020,03,1,24,0,05,,1,2,4,1,,,2,3,14,05,19,,,,375,375,1,375,375,0,,0,0,0,,138,,7436,1,1,1,4,,,,,,,,,,,,,,,,,1,03,1,104
90,2020,03,1,48,0,08,,1,5,4,1,,,2,3,04,09,39,,,,400,400,1,400,400,0,,0,0,0,,30,,4808,3,1,2,2,,,,,,,,,,,,,,,,,1,01,,86
