REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2021,05,1,24,0,09,,2,1,4,1,,,2,3,10,04,18,,,,385,385,1,385,385,0,,0,0,0,,240,,2400,3,1,1,4,,,,,,,,,,,,,,,,,1,02,,196
2,2021,05,4,47,0,01,1,2,6,1,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,,103
3,2021,05,4,35,0,11,,1,3,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,01,,264
4,2021,05,2,12,0,07,,2,1,5,1,,,1,3,16,05,20,1,99,2,400,0,1,400,0,,,,,,,189,,2485,1,1,4,4,,,,,,,,,,,,,,,,,1,08,,119
5,2021,05,4,46,0,12,,1,1,1,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,116
6,2021,05,4,47,0,11,,1,1,5,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,105
7,2021,05,4,35,0,10,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,1,11,,280
8,2021,05,1,47,0,05,,1,1,5,1,,,2,3,09,01,02,,,,400,450,1,400,450,0,,0,50,50,,14,,5885,3,1,3,4,,,,,,,,,,,,,,,,,1,03,2,196
9,2021,05,1,35,3,02,4,2,6,5,1,,,2,3,10,02,09,,,,350,350,1,350,350,0,,0,0,0,,7,,1700,3,1,2,3,,,,,,,,,,,,,,,,,1,15,,936
10,2021,05,4,10,0,12,,2,3,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,137
11,2021,05,3,46,6,01,2,1,6,3,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,30,5,2,,,,2,,1,,1,1,,3,,,2,03,,189
12,2021,05,1,35,0,03,6,2,1,5,1,,,1,3,17,04,16,,,,480,600,1,480,600,0,,120,0,120,,5,,3523,1,1,4,4,,,,,,,,,,,,,,,,,1,03,1,1380
13,2021,05,1,46,0,07,,1,1,2,1,,,2,3,06,08,35,,,,500,450,1,500,450,0,,0,0,0,,240,,4230,3,2,3,3,,,,,,,,,,,,,,,,,1,18,,150
14,2021,05,1,24,0,06,,2,6,4,1,,,1,3,17,04,17,,,,375,375,1,375,375,0,,0,0,0,,192,,3047,1,1,4,4,,,,,,,,,,,,,,,,,1,14,3,219
15,2021,05,4,24,0,12,,2,3,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,,167
16,2021,05,2,24,2,12,,1,1,4,1,,,6,2,11,08,38,3,21,,400,0,1,400,0,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,18,,1063
17,2021,05,4,24,0,12,,2,5,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,,,,,,,,,,,,01,,156
18,2021,05,1,24,0,09,,2,2,4,1,,,3,3,01,01,04,,,,600,500,1,600,500,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,1,02,,310
19,2021,05,4,24,0,10,,1,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,1,11,,108
20,2021,05,1,35,0,12,,1,1,2,1,,,6,3,02,09,39,,,,480,480,1,480,480,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,02,,458
21,2021,05,4,59,0,12,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,11,,106
22,2021,05,1,24,0,11,,1,1,4,1,,,2,3,07,03,11,,,,480,680,1,480,680,0,,200,0,200,,177,,6500,3,1,2,2,,,,,,,,,,,,,,,,,,05,,80
23,2021,05,1,35,0,07,,2,1,6,1,,,1,2,16,01,02,,,,400,400,1,400,400,0,,0,0,0,,213,,5240,1,1,2,4,,,,,,,,,,,,,,,,,1,04,4,350
24,2021,05,1,46,0,03,6,2,6,3,1,,,2,3,01,09,40,,,,360,120,1,360,120,240,2,0,0,0,,4,,1325,3,2,1,2,,,,,,,,,,,,,,,,,1,14,1,295
25,2021,05,1,24,2,08,,2,1,5,1,,,3,2,13,07,32,,,,500,550,1,500,550,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,1,02,,1145
26,2021,05,1,35,0,01,1,1,6,1,1,,,2,3,19,07,34,,,,180,180,2,180,180,0,,0,0,0,4,1,,1340,3,1,1,4,,,,,,,,,,,,,,,,,2,03,,428
27,2021,05,1,59,0,04,,2,6,5,1,,,2,3,20,05,26,,,,400,400,1,400,400,0,,0,0,0,,5,,1731,3,3,1,1,,,,,,,,,,,,,,,,,1,01,,472
28,2021,05,3,48,7,08,,1,1,5,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,44,4,1,,,34,2,,,1,1,1,,1,,,1,08,,162
29,2021,05,4,12,0,08,,2,1,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,,,,,,,,,,,1,07,4,132
30,2021,05,1,35,0,01,2,1,6,2,1,,,2,3,19,07,32,,,,200,200,2,200,200,0,,0,0,0,5,17,,1430,3,1,2,4,,,,,,,,,,,,,,,,,1,09,,389
31,2021,05,1,35,5,06,,2,1,5,1,,,1,2,17,04,17,,,,185,430,2,185,430,0,,75,0,75,6,58,,2300,1,1,2,2,,,,,,,,,,,,,,,,,1,03,3,479
32,2021,05,1,24,1,04,,2,2,2,1,,,5,3,17,05,21,,,,990,990,1,990,990,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,1,03,2,532
33,2021,05,4,24,0,06,,2,4,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,1,16,3,103
34,2021,05,1,13,0,04,,1,1,2,1,,,2,3,10,07,33,,,,375,375,1,375,375,0,,10,0,10,,76,,2700,3,1,1,4,,,,,,,,,,,,,,,,,1,02,,181
35,2021,05,3,10,0,05,,1,1,4,,1,1,2,3,04,09,39,,,,,,,,,,,,,,,,119,,,,,,12,2,1,4,12,5,2,,,1,1,1,,1,,,1,12,1,169
