REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2023,04,1,59,9,07,,1,1,2,1,,,2,2,11,08,38,,,,480,490,1,480,490,80,3,10,10,20,,205,,6000,1,1,4,4,,,,,,,,,,,,,,,,,1,06,2,1441
2,2023,04,1,35,4,08,,1,6,6,1,,,1,3,21,01,02,,,,400,400,1,400,400,0,,0,0,0,,240,,6731,3,1,2,4,,,,,,,,,,,,,,,,,1,01,,1099
3,2023,04,1,48,8,02,4,2,6,2,1,,,2,3,09,07,34,,,,375,375,1,375,375,0,,0,0,0,,76,,1920,3,1,1,1,,,,,,,,,,,,,,,,,1,04,,737
4,2023,04,4,35,0,12,,2,3,2,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,,268
5,2023,04,1,59,0,04,,2,1,5,1,,,2,1,10,07,34,,,,350,350,1,350,350,0,,0,0,0,,2,,1750,3,1,4,4,,,,,,,,,,,,,,,,,1,09,1,266
6,2023,04,4,10,0,12,,2,1,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,18,,47
7,2023,04,3,47,0,02,3,1,6,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,7,2,,,21,2,,,,1,,,3,,,1,07,,270
8,2023,04,1,24,0,04,,2,6,4,2,,,2,3,08,10,41,,,,400,400,1,480,480,0,,0,0,0,,19,,2400,3,1,3,3,,,,,,,,,,,,,,,,,1,01,,500
9,2023,04,1,59,0,09,,2,6,6,1,,,1,3,17,04,15,,,,400,475,1,400,475,0,,75,0,75,,240,,5564,1,1,4,4,,,,,,,,,,,,,,,,,1,01,,222
10,2023,04,4,35,0,12,,2,1,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,197
11,2023,04,4,48,7,01,1,1,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,,432
12,2023,04,2,35,4,07,,1,1,6,1,,,2,2,09,01,03,3,1,1,400,0,1,400,0,,,,,,,240,,9375,3,1,4,4,,,,,,,,,,,,,,,,,1,03,2,214
13,2023,04,4,12,0,01,2,2,6,1,,1,2,2,3,19,07,34,,,,,,,,,,,,,,,,5,,,,,,,,,4,09,6,,,,,,,,,,,2,01,,405
14,2023,04,1,24,0,08,,1,2,5,1,,,1,3,16,05,20,,,,320,250,1,320,250,70,3,0,0,0,,240,,5559,1,1,3,4,,,,,,,,,,,,,,,,,1,06,3,184
15,2023,04,1,46,0,05,,1,5,4,1,,,2,3,06,08,35,,,,400,400,1,400,400,0,,0,0,0,,65,,4327,3,1,1,1,,,,,,,,,,,,,,,,,1,01,,168
16,2023,04,1,35,3,03,6,1,6,6,1,,,2,3,14,02,06,,,,400,500,1,400,500,0,,0,100,100,,21,,3245,3,1,3,4,,,,,,,,,,,,,,,,,1,02,,449
17,2023,04,1,48,7,09,,2,1,2,1,,,2,2,19,07,31,,,,400,400,1,400,400,0,,0,0,0,,240,,2000,3,1,2,2,,,,,,,,,,,,,,,,,1,08,,553
18,2023,04,4,35,4,01,2,1,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,06,,348
19,2023,04,4,24,0,12,,2,1,3,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,,,05,,67
20,2023,04,1,12,0,09,,2,1,4,1,,,6,3,14,02,07,,,,400,400,1,400,400,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,1,18,,198
21,2023,04,4,24,0,12,,1,3,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,,,,,,,,,,,,01,,296
22,2023,04,1,48,0,09,,2,1,2,2,,,6,3,01,01,04,,,,990,820,1,990,990,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,1,02,,503
23,2023,04,4,24,0,01,1,1,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,,180
24,2023,04,4,59,0,01,1,1,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,,961
25,2023,04,2,47,0,03,6,2,1,5,1,,,2,1,19,07,34,3,3,2,350,0,1,350,0,,,,,,,61,,3300,3,1,2,2,,,,,,,,,,,,,,,,,1,02,,89
26,2023,04,1,59,0,10,,1,1,2,1,,,2,2,19,07,32,,,,320,320,1,320,320,0,,0,0,0,,240,,3000,3,1,2,2,,,,,,,,,,,,,,,,,1,02,,191
27,2023,04,1,46,0,12,,2,1,3,1,,,6,3,01,01,04,,,,140,140,2,140,140,,,,,,5,240,,,,,,,,,,,,,,,,,,,,,,,,02,,30
28,2023,04,4,12,0,12,,2,1,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,127
29,2023,04,4,35,4,11,,2,3,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,18,,1586
30,2023,04,1,48,7,04,,1,1,4,1,,,2,3,14,03,11,,,,400,400,1,400,400,0,,0,0,0,,122,,4808,3,1,1,1,,,,,,,,,,,,,,,,,1,03,1,789
31,2023,04,4,24,0,01,1,2,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,06,,431
32,2023,04,1,47,0,07,,2,1,5,1,,,1,3,17,04,16,,,,400,160,1,400,160,160,3,0,0,0,,240,,5200,1,1,2,4,,,,,,,,,,,,,,,,,1,03,2,117
33,2023,04,1,10,0,09,,1,1,4,1,,,2,3,11,08,38,,,,840,840,1,840,840,0,,0,0,0,,68,,2200,1,1,1,4,,,,,,,,,,,,,,,,,1,04,4,129
34,2023,04,1,24,2,04,,1,2,3,1,,,2,3,06,08,35,,,,300,250,1,300,250,0,,0,0,0,,39,,4359,1,1,1,1,,,,,,,,,,,,,,,,,1,03,1,1331
35,2023,04,1,35,0,08,,1,2,2,2,,,1,3,11,07,33,,,,280,400,2,330,420,0,,120,0,120,7,64,,3000,1,1,1,4,,,,,,,,,,,,,,,,,1,03,3,66
36,2023,04,4,12,0,12,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,172
37,2023,04,4,46,6,12,,2,1,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,113
38,2023,04,1,24,0,02,3,2,2,2,1,,,2,3,10,07,33,,,,400,320,1,400,320,80,3,0,0,0,,20,,1600,3,1,1,1,,,,,,,,,,,,,,,,,1,02,,124
39,2023,04,1,13,0,11,,1,1,3,1,,,2,3,08,10,43,,,,440,600,1,440,600,0,,160,0,160,,240,,1825,1,2,2,2,,,,,,,,,,,,,,,,,,02,,136
40,2023,04,1,59,0,07,,2,2,2,1,,,4,3,06,01,04,,,,370,360,1,370,360,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,1,02,,244
41,2023,04,4,46,0,01,2,1,2,2,,1,1,1,3,21,03,13,,,,,,,,,,,,,,,,4,,,,,,,,,3,05,9,1,,,,,,,,,,2,11,,75
42,2023,04,1,59,9,04,,1,1,5,1,,,2,2,14,03,11,,,,400,450,1,400,450,0,,0,50,50,,4,,8894,3,1,4,4,,,,,,,,,,,,,,,,,1,03,1,312
